optim,n_functions,time,n_relations,size_max
0,8,2.4799015522003174,10,10
1,8,2.6198389530181885,10,10
2,8,2.040794610977173,10,10
3,8,1.9697535037994385,10,10
0,9,5.793216228485107,10,10
1,9,5.636181592941284,10,10
2,9,4.5414581298828125,10,10
3,9,4.352329969406128,10,10
0,10,7.062687635421753,10,10
1,10,7.136091470718384,10,10
2,10,5.902517557144165,10,10
3,10,5.504124641418457,10,10
0,11,10.726943731307983,10,10
1,11,10.88477373123169,10,10
2,11,11.025367498397827,10,10
3,11,7.978139162063599,10,10
0,12,14.528330564498901,10,10
1,12,14.541396617889404,10,10
2,12,14.93674373626709,10,10
3,12,10.497780799865723,10,10
0,13,15.11318826675415,10,10
1,13,15.086641311645508,10,10
2,13,11.897742986679077,10,10
3,13,10.991227865219116,10,10
0,14,26.007389783859253,10,10
1,14,25.754809379577637,10,10
2,14,19.66970920562744,10,10
3,14,18.259601354599,10,10
0,15,41.460479497909546,10,10
1,15,41.283228158950806,10,10
2,15,30.641337394714355,10,10
3,15,28.361355304718018,10,10
0,16,44.15531516075134,10,10
1,16,43.19719982147217,10,10
2,16,32.87516212463379,10,10
3,16,29.951263427734375,10,10
0,17,53.37985157966614,10,10
1,17,53.191104888916016,10,10
2,17,39.86619520187378,10,10
3,17,36.123037338256836,10,10
0,18,65.07915472984314,10,10
1,18,64.85006713867188,10,10
2,18,49.87329125404358,10,10
3,18,44.161415100097656,10,10
0,19,77.06049299240112,10,10
1,19,76.91769552230835,10,10
2,19,58.0026421546936,10,10
3,19,52.81995511054993,10,10
0,20,76.98129272460938,10,10
1,20,76.7865788936615,10,10
2,20,56.687410831451416,10,10
3,20,52.694525718688965,10,10
0,21,109.47993445396423,10,10
1,21,108.65749454498291,10,10
2,21,82.35218548774719,10,10
3,21,74.63874006271362,10,10
0,22,133.08080554008484,10,10
1,22,136.4780671596527,10,10
2,22,104.99096941947937,10,10
3,22,91.86529898643494,10,10
0,23,143.57299137115479,10,10
1,23,143.34911799430847,10,10
2,23,109.8914155960083,10,10
3,23,105.2623860836029,10,10
0,24,163.31637573242188,10,10
1,24,163.73050832748413,10,10
2,24,122.01142001152039,10,10
3,24,107.49528622627258,10,10
0,25,199.14662742614746,10,10
1,25,187.9138538837433,10,10
2,25,139.5540759563446,10,10
3,25,128.1231725215912,10,10
0,26,189.50881338119507,10,10
1,26,189.13717436790466,10,10
2,26,139.35658836364746,10,10
3,26,129.48315405845642,10,10
0,27,216.20544123649597,10,10
1,27,214.91909432411194,10,10
2,27,157.28150248527527,10,10
3,27,145.46550011634827,10,10
0,28,229.8760461807251,10,10
1,28,232.1882345676422,10,10
2,28,172.79165148735046,10,10
3,28,156.94613242149353,10,10
0,29,239.0467894077301,10,10
1,29,239.97321772575378,10,10
2,29,172.9199903011322,10,10
3,29,161.6274058818817,10,10
0,30,299.3981146812439,10,10
1,30,301.8725423812866,10,10
2,30,223.0743224620819,10,10
3,30,206.7064723968506,10,10
0,31,392.12464451789856,10,10
